List of markets for the selected product Product: 1005 Maize (corn)
"Partners"	"Balance in value in 2001"	"Balance in value in 2002"	"Balance in value in 2003"	"Balance in value in 2004"	"Balance in value in 2005"	"Balance in value in 2006"	"Balance in value in 2007"	"Balance in value in 2008"	"Balance in value in 2009"	"Balance in value in 2010"	"Balance in value in 2011"	"Balance in value in 2012"	"Balance in value in 2013"	"Exported value in 2013"	"Imported value in 2013"	
Mozambique	-1810	-3272	-12780	-4717	-5409	-15029	-3021	-17731	-24704	-9474	-25946	-3909	-19018	399	19417	
Lesotho	-13397	-13273	-14075					-12164	-13967	-16512			-20316	20	20336	
Kenya	-41620	3477	-13354	-53460	-8421	-17622	-3797	-88827	-435241	-62409	-118918	-56339	-22457	2499	24956	
Albania	-4385	-3455	-4380	-8045	-6126	-8575	-16197	-22845	-15223	-18090	-18183	-16624	-23571	4	23575	
Swaziland	-11238	-14576	-25188	-20464	-17353	-13122	-47388	-895	-1284	-2478	-810	-641	-23793	208	24001	
Armenia	-2533	-3179	-2943	-6346	-43	-1168	-11491	-11593	-7390	-7158	-11026	-11474	-24845	0	24845	
Trinidad and Tobago	-11834	-11193	-9717	-13034	-11935	-16281	-21276	-26510	-21588	-21974	-21601	-27901	-27342	1	27343	
Tanzania United Republic of	-5072	12537	7092	-17189	7537	-44876	9641	-5458	-6667	-14491	-13242	-923	-29507	8857	38364	
Mauritius	-8136	-9832	-9352	-15058	-13529	-14036	-17825	-29469	-18639	-23948	-31419	-31992	-30252	511	30763	
Norway	-5030	-6686	-7011	-6597	-3064	-3595	-13025	-25091	-8181	-14393	-18622	-24601	-30569	0	30569	
Pakistan			-10805	-15246	-20646	-20083	-18884	-43249	12629	-18046	34224	57301	-30986	30662	61648	
Nicaragua	-3329	-3177	-2440	-3357	-1320	-9376	-27158	-29111	-24812	-27460	-35439	-40266	-32155	812	32967	
Slovenia	-24587	-19902	-30902	-38715	-22552	-29046	-57965	-34769	-17952	-22245	-27564	-13964	-32421	24775	57196	
Lithuania	-3483	-4980	-7733	-5888	-3999	-5608	-9986	-36140	-5209	-6164	-23435	-17160	-32664	8404	41068	
Azerbaijan	-45	-306	-1175	-2273	-4161	-2933	-8156	-15059	-11405	-14948	-18967	-20223	-35369	0	35369	
Korea Democratic People's Republic of	-90201	-19508	-15474	-34556	-35629	-18642	-12918	-60341	-29892	-23500	-49193	-121212	-40140	0	40140	
Senegal	-6950	-12789	-13102	-13189	-15762	-16542	-23678	-37044	-28406	-23249	-32311	-48189	-42219	76	42295	
Oman	-5843	-4156	0	-19616	-24038	-10683	-16075	-27162	-14160	-21861	-36733	-39876	-42872	0	42872	
Kuwait	-12707	-14568	-17148	-20611		-19931	-26698	-44063	-25668	-17815	-52214	-38251	-46202	0	46202	
Switzerland	-9021	-12232	-27357	-24723	-21664	-19489	-54006	-51164	-27619	-35162	-58105	-39602	-47444	647	48091	
Austria	20333	5760	32902	33791	43267	48237	53458	100108	53262	-26287	-69979	43320	-47701	248342	296043	
Nigeria	-73	-2604	-1327			-28	-215	-137	-1731	-2189	-1437	-24435	-48021	1227	49248	
Cyprus	-22719	-24335	-30619	-20338	-26140	-28186	-50559	-52097	-35025	-42403	-61932	-58393	-48091	718	48809	
Botswana	-7232	-44068	-18466	-24990	-22829	-27883	-12609	-8018	-8650	-9420	-17070	-20145	-49743	69	49812	
Nepal			-2687						-3073	-24381	-46967	-20187	-54629	0	54629	
Namibia	-9161	-10228	-7803	-10096	-8580	-9962	-16352	-14298	-23013	-17023	-17543	-24783	-56110	92	56202	
