Date,Open,High,Low,Close,Volume,Adjusted Close
2012-10-26,779.37,781.42,773.96,778.67,0.0,778.67
2012-10-31,779.33,782.4,775.82,779.35,0.0,779.35
2012-11-01,780.81,788.91,780.4,788.7,0.0,788.7
2012-11-02,790.81,792.24,780.8,781.15,0.0,781.15
2012-11-05,785.23,785.23,777.97,782.94,0.0,782.94
2012-11-06,783.74,791.55,783.74,789.09,0.0,789.09
2012-11-07,785.34,785.34,767.28,770.79,0.0,770.79
2012-11-08,771.27,774.27,761.39,761.39,0.0,761.39
2012-11-09,761.36,768.88,758.91,762.61,0.0,762.61
2012-11-12,764.21,765.28,761.22,762.67,0.0,762.67
2012-11-13,761.63,767.28,757.86,759.68,0.0,759.68
2012-11-14,760.97,762.68,747.31,748.84,0.0,748.84
2012-11-15,748.81,751.62,744.37,747.46,0.0,747.46
2012-11-16,747.51,752.59,742.42,751.51,0.0,751.51
2012-11-19,754.14,766.23,754.14,766.23,0.0,766.23
2012-11-20,765.75,767.94,761.3,766.99,0.0,766.99
2012-11-21,767.38,769.03,766.32,768.94,0.0,768.94
2012-11-23,771.02,778.8,771.02,778.8,0.0,778.8
2012-11-26,777.59,777.59,772.72,777.31,0.0,777.31
2012-11-27,776.91,778.9,773.09,773.55,0.0,773.55
2012-11-28,771.9,779.64,766.09,779.47,0.0,779.47
2012-11-29,780.89,784.66,779.18,783.03,0.0,783.03
2012-11-30,783.03,784.68,780.77,783.37,0.0,783.37
2012-12-03,785.22,787.45,779.21,779.72,0.0,779.72
2012-12-04,779.49,781.62,776.45,778.41,0.0,778.41
2012-12-05,777.98,782.87,773.72,779.66,0.0,779.66
2012-12-06,778.89,782.31,778.03,782.31,0.0,782.31
2012-12-07,783.47,785.73,780.73,784.54,0.0,784.54
2012-12-10,783.54,786.65,783.25,785.12,0.0,785.12
2012-12-11,786.96,792.92,786.96,790.06,0.0,790.06
2012-12-12,791.44,795.7,789.39,790.3,0.0,790.3
2012-12-13,789.6,791.9,783.56,785.35,0.0,785.35
2012-12-14,783.93,785.14,781.36,782.24,0.0,782.24
2012-12-17,782.55,791.33,782.55,791.23,0.0,791.23
2012-12-18,791.22,801.01,791.22,800.42,0.0,800.42
2012-12-19,800.83,801.1,795.03,795.03,0.0,795.03
2012-12-20,795.31,799.3,793.42,799.29,0.0,799.29
2012-12-21,796.33,796.33,788.0,791.86,0.0,791.86
2012-12-24,790.79,790.79,788.89,790.01,0.0,790.01
2012-12-26,789.96,791.42,784.49,785.92,0.0,785.92
2012-12-27,785.89,787.63,776.25,785.09,0.0,785.09
2012-12-28,782.41,783.83,776.43,776.8,0.0,776.8
2012-12-31,776.58,790.18,774.53,789.9,0.0,789.9
2013-01-02,791.46,809.85,791.46,809.84,0.0,809.84
